id,title_or_case,score_internal,before,delta,human_score,low_checks,evidence
R01:work:hook,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 5단 응답 흐름 / 기존 출력 가드 검사
R01:work:daily,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 하루의 실행 카드 / 기존 출력 가드 검사
R01:work:summary,R01,88,,,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:money:hook,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 5단 응답 흐름 / 기존 출력 가드 검사
R01:money:daily,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 하루의 실행 카드 / 기존 출력 가드 검사
R01:money:summary,R01,85,,,,완결과 가져갈 것 / 읽을 순서,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 0개 중 접힌 근거 0개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 0개 · 거절 반영 False / 서로 다른 행동 0개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 1개
R01:love:hook,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 5단 응답 흐름 / 기존 출력 가드 검사
R01:love:daily,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 하루의 실행 카드 / 기존 출력 가드 검사
R01:love:summary,R01,80,,,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 0개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:people:hook,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 5단 응답 흐름 / 기존 출력 가드 검사
R01:people:daily,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 하루의 실행 카드 / 기존 출력 가드 검사
R01:people:summary,R01,80,,,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 0개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:dir:hook,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 5단 응답 흐름 / 기존 출력 가드 검사
R01:dir:daily,R01,100,,,,,전문 표현 0개 · 85자 초과 0개 / 출처/계산 근거 필드 확인 / 하루의 실행 카드 / 기존 출력 가드 검사
R01:dir:summary,R01,80,,,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 0개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
