id,title_or_case,score_internal,before,delta,human_score,low_checks,evidence
R01:work:pungun:all:book,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 7개 · 거절 반영 False / 서로 다른 행동 8개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 12개
R01:work:pungun:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:pungun:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:pungun:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:pungun:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:baegun:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:baegun:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:baegun:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:baegun:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:cheongam:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:cheongam:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:cheongam:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:cheongam:all:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:sigye:free:focus,R01,88,78,10,,경험 확인 장면 / 완결과 가져갈 것,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 1개 · 거절 반영 False / 서로 다른 행동 1개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 2개
R01:work:sigye:one:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
R01:work:sigye:sub:focus,R01,100,85,15,,,노출 전문 표현 0개 · 85자 초과 문장 0개 / 핵심 결론 1개 중 접힌 근거 1개 / 답변으로 해석을 조정하는 질문 제공 / 생활 장면을 묻는 본문 2개 · 거절 반영 False / 서로 다른 행동 3개 · 언제/확인/대안 True / 실행 카드와 마무리 함께 제공 / 이야기 순서 True · 본문 7개
