id,title_or_case,score_internal,before,delta,human_score,low_checks,evidence
route:/admin,/admin,100,92,8,,,apps/web/app/admin/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 관리 화면은 사용자 평점 대상 제외 / 선택/입력 안내 소스 검사
route:/daily,/daily,90,72,18,,읽은 뒤 다시 사용,apps/web/app/daily/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
g1,오늘,90,72,18,,읽은 뒤 다시 사용,apps/web/app/daily/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
route:/legal,/legal,92,75,17,,실패·입력 수정,apps/web/app/legal/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
route:/lobby,/lobby,90,72,18,,불필요한 부담,apps/web/app/lobby/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
b2,스무 사람,90,72,18,,불필요한 부담,apps/web/app/lobby/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
b3,그 사람,90,72,18,,불필요한 부담,apps/web/app/lobby/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
b4,내 명식,90,72,18,,불필요한 부담,apps/web/app/lobby/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
b1,진열대,90,72,18,,불필요한 부담,apps/web/app/lobby/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
route:/me,/me,90,72,18,,가격·해지·범위,apps/web/app/me/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 가격과 환불/구독 문구 검사; 법률 적합성 판정 아님
r1,다녀간 사람들,90,72,18,,가격·해지·범위,apps/web/app/me/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 가격과 환불/구독 문구 검사; 법률 적합성 판정 아님
f2,인장첩,90,72,18,,가격·해지·범위,apps/web/app/me/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 가격과 환불/구독 문구 검사; 법률 적합성 판정 아님
route:/omnibus,/omnibus,100,72,28,,,apps/web/app/omnibus/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
route:/,/,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
a1,골목,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
a2,이름,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
a3,날·고을,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
a4,때,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
a4b,성향 넉 자,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
a5,걸리는 것,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
a6,글자가 서다,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
a7,훅 5단,100,82,18,,,apps/web/app/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
route:/pay,/pay,90,72,18,,가격·해지·범위,apps/web/app/pay/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 가격과 환불/구독 문구 검사; 법률 적합성 판정 아님
d0,무료 6단,90,72,18,,가격·해지·범위,apps/web/app/pay/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 가격과 환불/구독 문구 검사; 법률 적합성 판정 아님
d2,값을 치르다,90,72,18,,가격·해지·범위,apps/web/app/pay/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 가격과 환불/구독 문구 검사; 법률 적합성 판정 아님
d1,어디까지,90,72,18,,가격·해지·범위,apps/web/app/pay/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 가격과 환불/구독 문구 검사; 법률 적합성 판정 아님
d3,다 됐소,90,72,18,,가격·해지·범위,apps/web/app/pay/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 가격과 환불/구독 문구 검사; 법률 적합성 판정 아님
route:/relay,/relay,100,82,18,,,apps/web/app/relay/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
h1,이어지다,100,82,18,,,apps/web/app/relay/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 선택/입력 안내 소스 검사
route:/report/[id],/report/[id],100,72,28,,,apps/web/app/report/[id]/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
c1,표지,100,72,28,,,apps/web/app/report/[id]/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
c3,대운 맵,100,72,28,,,apps/web/app/report/[id]/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
c4,페이월,100,72,28,,,apps/web/app/report/[id]/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
c5,공유 카드,100,72,28,,,apps/web/app/report/[id]/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
c6,남기다,100,72,28,,,apps/web/app/report/[id]/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
c2,본문,100,72,28,,,apps/web/app/report/[id]/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
route:/s/[token],/s/[token],90,72,18,,읽은 뒤 다시 사용,apps/web/app/s/[token]/page.tsx의 제목 선언 / 소스의 버튼/링크 및 공통 뒤로 이동 검사 / 재시도/수정 문구 소스 검사; 모든 오류 상태의 실측은 별도 / 공통 읽기 모드 버튼 / 공통 페이지 평가 부품 연결 여부 / 저장/공유/실행 카드 코드 확인
